IPORIGEN,IPDESTINO,DNS/FLAGS
3.230.56.88,192.168.100.65,0x0011
54.160.93.182,192.168.100.65,0x0011
34.195.42.24,192.168.100.65,0x0011
3.211.157.115,192.168.100.65,0x0011
34.195.42.24,192.168.100.65,0x0011
54.160.93.182,192.168.100.65,0x0011
192.168.100.65,128.63.2.53,trafficapi.nl
192.168.100.65,199.7.91.13,trafficapi.nl
199.7.91.13,192.168.100.65,trafficapi.nl
192.168.100.65,194.0.25.24,trafficapi.nl
194.0.25.24,192.168.100.65,trafficapi.nl
192.168.100.65,194.0.28.53,pns1.directdomain.nl
194.0.28.53,192.168.100.65,pns1.directdomain.nl
192.168.100.65,185.136.96.77,pns1.directdomain.nl
185.136.96.77,192.168.100.65,pns1.directdomain.nl
192.168.100.65,45.32.236.18,trafficapi.nl
45.32.236.18,192.168.100.65,trafficapi.nl
192.168.100.65,192.33.14.30,cselegance.com
192.33.14.30,192.168.100.65,cselegance.com
192.168.100.65,192.12.94.30,ns11.nazartt.net
192.12.94.30,192.168.100.65,ns11.nazartt.net
192.168.100.65,51.68.189.56,ns11.nazartt.net
51.68.189.56,192.168.100.65,ns11.nazartt.net
192.168.100.65,209.58.172.101,cselegance.com
209.58.172.101,192.168.100.65,cselegance.com
216.218.185.162,192.168.100.65,0x0011
103.27.73.70,192.168.100.65,0x0011
192.168.100.65,192.31.80.30,www.chatswhastapp.serveuser.com
192.31.80.30,192.168.100.65,www.chatswhastapp.serveuser.com
192.168.100.65,172.105.55.163,www.chatswhastapp.serveuser.com
172.105.55.163,192.168.100.65,www.chatswhastapp.serveuser.com
216.218.185.162,192.168.100.65,0x0011
216.218.185.162,192.168.100.65,0x0011
216.218.185.162,192.168.100.65,0x0011
216.218.185.162,192.168.100.65,0x0011
216.218.185.162,192.168.100.65,0x0011
103.27.73.70,192.168.100.65,0x0011
192.168.100.65,192.31.80.30,web.clefmedia.com
192.31.80.30,192.168.100.65,web.clefmedia.com
192.168.100.65,162.159.24.201,web.clefmedia.com
162.159.24.201,192.168.100.65,web.clefmedia.com
192.168.100.65,216.218.185.162,0x0011
192.168.100.65,217.20.116.145,0x0011
192.168.100.65,217.20.116.145,0x0011
192.168.100.65,216.218.185.162,0x0011
192.168.100.65,216.218.185.162,0x0011
192.168.100.65,217.20.116.145,0x0011
192.168.100.65,217.20.116.134,0x0011
192.168.100.65,217.20.116.134,0x0011
192.168.100.65,216.218.185.162,0x0011
192.168.100.65,216.218.185.162,0x0011
192.168.100.65,217.20.116.134,0x0011
192.168.100.65,217.20.116.145,0x0011
192.168.100.65,216.218.185.162,0x0011
192.168.100.65,217.20.116.134,0x0011
192.168.100.65,217.20.116.145,0x0011
192.168.100.65,217.20.116.134,0x0011
159.65.241.220,192.168.100.65,0x0011
192.168.100.65,217.20.116.145,0x0011
192.168.100.65,217.20.116.134,0x0011
204.16.169.54,192.168.100.65,0x0011
192.168.100.65,87.106.139.101,0x0011
192.168.100.65,192.33.14.30,nailpolishwraps.com
192.33.14.30,192.168.100.65,nailpolishwraps.com
192.168.100.65,13.248.169.48,0x0011
192.168.100.65,13.248.169.48,0x0011
192.168.100.65,13.248.169.48,0x0011
192.168.100.65,13.248.169.48,0x0011
192.168.100.65,13.248.169.48,0x0011
192.168.100.65,13.248.169.48,0x0011
192.168.100.65,159.65.241.220,0x0011
192.168.100.65,85.10.155.145,0x0011
85.10.155.145,192.168.100.65,0x0011
192.168.100.65,103.27.73.70,0x0011
192.168.100.65,103.27.73.70,0x0011
192.168.100.65,204.16.169.54,0x0011
192.168.100.65,103.27.73.70,0x0011
192.168.100.65,103.27.73.70,0x0011
192.168.100.65,192.228.79.201,myetherwallets.kr
192.228.79.201,192.168.100.65,myetherwallets.kr
192.168.100.65,210.101.62.1,myetherwallets.kr
210.101.62.1,192.168.100.65,myetherwallets.kr
192.168.100.65,192.42.93.30,pns2.regery.net
192.42.93.30,192.168.100.65,pns2.regery.net
192.168.100.65,162.159.8.55,aria.ns.cloudflare.com
162.159.8.55,192.168.100.65,aria.ns.cloudflare.com
192.168.100.65,172.64.32.68,pns2.regery.net
172.64.32.68,192.168.100.65,pns2.regery.net
192.168.100.65,188.40.168.197,myetherwallets.kr
188.40.168.197,192.168.100.65,myetherwallets.kr
192.168.100.65,108.162.192.68,pns3.regery.net
108.162.192.68,192.168.100.65,pns3.regery.net
192.168.100.65,188.40.168.194,myetherwallets.kr
188.40.168.194,192.168.100.65,myetherwallets.kr
192.168.100.65,173.245.58.68,pns1.regery.net
173.245.58.68,192.168.100.65,pns1.regery.net
192.168.100.65,103.27.73.70,0x0011
192.168.100.65,192.58.128.30,www.jochman.sk
192.58.128.30,192.168.100.65,www.jochman.sk
192.168.100.65,212.18.249.16,www.jochman.sk
212.18.249.16,192.168.100.65,www.jochman.sk
192.168.100.65,217.31.48.201,www.jochman.sk
217.31.48.201,192.168.100.65,www.jochman.sk
192.168.100.65,192.31.80.30,khaiy.com
192.31.80.30,192.168.100.65,khaiy.com
192.168.100.65,192.35.51.30,souffity.com
192.35.51.30,192.168.100.65,souffity.com
192.168.100.65,192.33.4.12,b-lizzard.pt
192.33.4.12,192.168.100.65,b-lizzard.pt
192.168.100.65,185.39.210.1,b-lizzard.pt
185.39.210.1,192.168.100.65,b-lizzard.pt
192.168.100.65,192.12.94.30,ns1.dnshati.com
192.12.94.30,192.168.100.65,ns1.dnshati.com
192.168.100.65,195.22.8.67,ns1.dnshati.com
195.22.8.67,192.168.100.65,ns1.dnshati.com
192.168.100.65,195.22.8.67,b-lizzard.pt
195.22.8.67,192.168.100.65,b-lizzard.pt
192.168.100.65,192.26.92.30,mail.tetapsendiri.com
192.26.92.30,192.168.100.65,mail.tetapsendiri.com
192.168.100.65,205.251.192.27,ec2-35-178-36-130.eu-west-2.compute.amazonaws.com
205.251.192.27,192.168.100.65,ec2-35-178-36-130.eu-west-2.compute.amazonaws.com
192.168.100.65,156.154.67.10,ec2-35-178-36-130.eu-west-2.compute.amazonaws.com
156.154.67.10,192.168.100.65,ec2-35-178-36-130.eu-west-2.compute.amazonaws.com
195.22.8.67,192.168.100.65,0x0011
192.168.100.65,103.27.73.70,0x0011
192.168.100.65,192.31.80.30,lapostebanquet.com
192.31.80.30,192.168.100.65,lapostebanquet.com
192.168.100.65,199.19.53.1,aahora.org
199.19.53.1,192.168.100.65,aahora.org
192.168.100.65,192.203.230.10,dns1.serv.net.mx
192.203.230.10,192.168.100.65,dns1.serv.net.mx
192.168.100.65,200.23.1.1,dns1.serv.net.mx
200.23.1.1,192.168.100.65,dns1.serv.net.mx
192.168.100.65,54.212.140.223,dns1.serv.net.mx
54.212.140.223,192.168.100.65,dns1.serv.net.mx
192.168.100.65,23.23.69.122,aahora.org
23.23.69.122,192.168.100.65,aahora.org
192.168.100.65,192.35.51.30,supergerminados.com
192.35.51.30,192.168.100.65,supergerminados.com
192.168.100.65,176.31.130.166,supergerminados.com
176.31.130.166,192.168.100.65,supergerminados.com
192.168.100.65,192.12.94.30,u7.innerpeer.com
192.12.94.30,192.168.100.65,u7.innerpeer.com
192.168.100.65,192.33.14.30,the-gordons.net
192.33.14.30,192.168.100.65,the-gordons.net
192.168.100.65,192.26.92.30,ns1stv.name.com
192.26.92.30,192.168.100.65,ns1stv.name.com
192.168.100.65,173.245.59.150,ns1stv.name.com
173.245.59.150,192.168.100.65,ns1stv.name.com
192.168.100.65,163.114.216.17,the-gordons.net
163.114.216.17,192.168.100.65,the-gordons.net
192.168.100.65,23.236.62.147,0x0011
23.236.62.147,192.168.100.65,0x0011
23.236.62.147,192.168.100.65,0x0011
192.168.100.65,23.236.62.147,0x0011
192.168.100.65,192.31.80.30,nymassagezone.com
192.31.80.30,192.168.100.65,nymassagezone.com
192.168.100.65,97.74.102.43,nymassagezone.com
97.74.102.43,192.168.100.65,nymassagezone.com
208.109.243.10,192.168.100.65,0x0011
192.168.100.65,208.109.243.10,0x0011
192.168.100.65,192.54.112.30,pojomusic.com
192.54.112.30,192.168.100.65,pojomusic.com
