IP Origen,IP Destino/Dominio,Tipo
192.168.100.65,lh3.googleusercontent.com,TIPO DNS
192.168.100.65,lh3.googleusercontent.com,TIPO DNS
216.239.34.10,lh3.googleusercontent.com,TIPO DNS
192.168.100.65,googlehosted.l.googleusercontent.com,TIPO DNS
216.239.38.10,lh3.googleusercontent.com,TIPO DNS
216.239.38.10,googlehosted.l.googleusercontent.com,TIPO DNS
192.168.100.65,fonts.gstatic.com,TIPO DNS
192.168.100.65,www.gstatic.com,TIPO DNS
192.168.100.65,www.gstatic.com,TIPO DNS
216.239.34.10,fonts.gstatic.com,TIPO DNS
216.239.32.10,www.gstatic.com,TIPO DNS
216.239.38.10,www.gstatic.com,TIPO DNS
192.168.100.65,www.googleadservices.com,TIPO DNS
216.239.38.10,www.googleadservices.com,TIPO DNS
192.168.100.65,id.google.com,TIPO DNS
192.168.100.65,id.google.com,TIPO DNS
216.239.32.10,id.google.com,TIPO DNS
216.239.38.10,id.google.com,TIPO DNS
192.168.100.65,time.windows.com,TIPO DNS
192.12.94.30,time.windows.com,TIPO DNS
192.168.100.65,time.windows.com,TIPO DNS
13.107.236.205,time.windows.com,TIPO DNS
192.168.100.65,tm1.edgedns-tm.info,TIPO DNS
13.107.236.4,tm1.edgedns-tm.info,TIPO DNS
192.168.100.65,twc.trafficmanager.net,TIPO DNS
13.107.222.240,twc.trafficmanager.net,TIPO DNS
192.168.100.65,www.torproject.org,TIPO DNS
192.168.100.65,www.torproject.org,TIPO DNS
199.19.57.1,www.torproject.org,TIPO DNS
199.19.54.1,www.torproject.org,TIPO DNS
192.168.100.65,www.torproject.org,TIPO DNS
192.168.100.65,www.torproject.org,TIPO DNS
192.168.100.65,www.youtube.com,TIPO DNS
192.168.100.65,www.youtube.com,TIPO DNS
216.239.32.10,www.youtube.com,TIPO DNS
192.168.100.65,youtube-ui.l.google.com,TIPO DNS
216.239.38.10,www.youtube.com,TIPO DNS
216.239.38.10,youtube-ui.l.google.com,TIPO DNS
192.168.100.65,i.ytimg.com,TIPO DNS
