IP Origen,IP Destino/Dominio,Tipo
216.239.38.10,www.googleadservices.com,DNS
192.168.100.65,id.google.com,DNS
192.168.100.65,id.google.com,DNS
216.239.32.10,id.google.com,DNS
216.239.38.10,id.google.com,DNS
192.168.100.65,time.windows.com,DNS
192.12.94.30,time.windows.com,DNS
192.168.100.65,time.windows.com,DNS
13.107.236.205,time.windows.com,DNS
192.168.100.65,tm1.edgedns-tm.info,DNS
13.107.236.4,tm1.edgedns-tm.info,DNS
192.168.100.65,twc.trafficmanager.net,DNS
13.107.222.240,twc.trafficmanager.net,DNS
192.168.100.65,www.torproject.org,DNS
192.168.100.65,www.torproject.org,DNS
199.19.57.1,www.torproject.org,DNS
199.19.54.1,www.torproject.org,DNS
192.168.100.65,www.torproject.org,DNS
192.168.100.65,www.torproject.org,DNS
192.168.100.65,www.youtube.com,DNS
192.168.100.65,www.youtube.com,DNS
216.239.32.10,www.youtube.com,DNS
192.168.100.65,youtube-ui.l.google.com,DNS
216.239.38.10,www.youtube.com,DNS
216.239.38.10,youtube-ui.l.google.com,DNS
192.168.100.65,i.ytimg.com,DNS
192.168.100.65,i.ytimg.com,DNS
216.239.32.10,i.ytimg.com,DNS
216.239.32.10,i.ytimg.com,DNS
192.168.100.65,ssl.gstatic.com,DNS
192.168.100.65,googleads.g.doubleclick.net,DNS
216.239.34.10,googleads.g.doubleclick.net,DNS
216.239.38.10,ssl.gstatic.com,DNS
192.168.100.65,jnn-pa.googleapis.com,DNS
192.168.100.65,jnn-pa.googleapis.com,DNS
216.239.34.10,jnn-pa.googleapis.com,DNS
216.239.38.10,jnn-pa.googleapis.com,DNS
192.168.100.65,618ff1dd.live.darktracesensor.com,DNS
205.251.193.63,618ff1dd.live.darktracesensor.com,DNS
192.168.100.65,www.torproject.org,DNS
192.168.100.65,www.torproject.org,DNS
204.8.99.145,www.torproject.org,DNS
204.8.99.145,www.torproject.org,DNS
192.168.100.65,safebrowsing.googleapis.com,DNS
192.168.100.65,safebrowsing.googleapis.com,DNS
216.239.34.10,safebrowsing.googleapis.com,DNS
216.239.38.10,safebrowsing.googleapis.com,DNS
192.168.100.65,content-autofill.googleapis.com,DNS
192.168.100.65,content-autofill.googleapis.com,DNS
216.239.34.10,content-autofill.googleapis.com,DNS
216.239.34.10,content-autofill.googleapis.com,DNS
192.168.100.65,172.217.192.95,TCP FIN-ACK
172.217.192.95,192.168.100.65,TCP FIN-ACK
192.168.100.65,www.netflix.com,DNS
192.168.100.65,www.netflix.com,DNS
192.31.80.30,www.netflix.com,DNS
192.168.100.65,www.netflix.com,DNS
